Key,English,Korean,Portuguese,Japanese,Spanish,Thai,Indonesian,Russian,ChineseSimplified,ChineseTraditional,Tagalog,Vietnam
BTN_CREATE_A_NEW_ACCOUNT,Create a new account,새 계정 만들기,Create uma nova conta,新しいアカウントを作成する,Crear una nueva cuenta,สร้างบัญชีใหม่,Membuat akun baru,Создать новый аккаунт,创建新帐户,創建新帳戶,Sumali sa isang bagong account,Tạo một tài khoản mới
BTN_IMPORT_KEY,Import key,키 가져오기,Importar chave,キーをインポートする,Importar clave,นำเข้าคีย์,Impor kunci,Импортировать ключ,导入密钥,導入密鑰,Mag-import ng key,Nhập key
BTN_QUIT,Quit,종료,Desistir,やめる,Dejar,ออก,Quit,Выйти,退出,退出,Mag-quit,Thoát
BTN_RETRY,Retry,재시도,Repetir,再試行,Reintentar,ลองใหม่,Coba lagi,Повторить,重试,重試,Subukang muli,Thử lại
BTN_OPEN_SYSTEM_SETTINGS,Open system settings,시스템 설정 열기,Abrir configurações do sistema,システム設定を開く,Abrir configuración del sistema,เปิดการตั้งค่าระบบ,Buka pengaturan sistem,Открыть настройки системы,打开系统设置,打開系統設置,Buksan ang mga setting ng system,Mở cài đặt hệ thống
BTN_TOUCH_TO_START,Touch to Start,시작하려면 터치하세요,Toque para iniciar,開始するにはタッチ,Toque para iniciar,แตะเพื่อเริ่มต้น,Pencet untuk memulai,Нажмите,触摸开始,觸摸開始,Tapikin upang simulan,Chạm để bắt đầu
BTN_SELECT,Select,선택,Selecionar,選択,Seleccionar,เลือก,Memilih,Выбрать,选择,選擇,Piliin,Pick
BTN_CREATE_A_NEW_CHARACTER,Create a new character,새 캐릭터 만들기,Criar um novo personagem,新しいキャラクターを作成する,Crear un nuevo personaje,สร้างตัวละครใหม่,Membuat karakter baru,Создать новый персонаж,创建新角色,創建新角色,Gumawa ng bagong character,Tạo một nhân vật mới
BTN_OPEN_A_BROWSER,Open a browser,브라우저 열기,Abrir um navegador,ブラウザを開く,Abrir un navegador,เปิดเบราว์เซอร์,Buka browser,Открыть браузер,打开浏览器,打開瀏覽器,Buksan ang browser,Mở trình duyệt
BTN_SELECT_PLANET,Select Planet,플래닛 선택,Selecionar Planeta,プラネット選択,Seleccionar Planeta,เลือกดาวเคราะห์,Pilih Planet,Выбрать планету,选择星球,選擇星球,Piliin ang Planeta,Chọn Hành tinh
