Key,English,Korean,Portuguese,Japanese,Spanish,Thai,Indonesian,Russian,ChineseSimplified,ChineseTraditional,Tagalog,Vietnam
BUFF_DESCRIPTION_101000,Enhance total HP {0}%,최대 HP {0}% 증가,Melhorar o total HP {0}%,最大HP {0}％強化,Aumenta el total de puntos de vida HP en {0}%,เพิ่ม HP สูงสุด {0}%,Tingkatkan HP {0}% total,Улучшите общее HP {0}%,增强总HP {0}％。,增加总生命值（0）%,Palakasin ang kabuoang HP {0}%,Tăng tổng HP {0}%
BUFF_DESCRIPTION_101001,Enhance total HP {0}%,최대 HP {0}% 증가,Melhorar o total HP {0}%,最大HP {0}％強化,Aumenta el total de puntos de vida HP en {0}%,เพิ่ม HP สูงสุด {0}%,Tingkatkan HP {0}% total,Улучшите общее HP {0}%,增强总HP {0}％。,增加总生命值（0）%,Palakasin ang kabuoang HP {0}%,Tăng tổng HP {0}%
BUFF_DESCRIPTION_102000,Enhance ATK by {0}%,ATK {0}% 강화,Melhore ATK por {0}%,ATK{0}％強化,Aumenta el ataque ATK en {0}%,เพิ่ม ATK {0}%,Tingkatkan ATK dengan {0}%,Усилить ATK на {0}%,增强ATK {0}％。,增強攻擊力（0）%,Palakasin ang ATK ng {0}%,Tăng ATK lên {0}%
BUFF_DESCRIPTION_102001,Enhance ATK by {0}%,ATK {0}% 강화,Melhore ATK por {0}%,ATK{0}％強化,Aumenta el ataque ATK en {0}%,เพิ่ม ATK {0}%,Tingkatkan ATK dengan {0}%,Усилить ATK на {0}%,增强ATK {0}％。,增強攻擊力（0）%,Palakasin ang ATK ng {0}%,Tăng ATK lên {0}%
BUFF_DESCRIPTION_103000,Enhance DEF by {0}%,DEF {0}% 강화,Melhorar o DEF por {0}%,DEF{0}％強化,Aumenta la defensa DEF en {0}%,เพิ่ม DEF {0}%,Tingkatkan DEF dengan {0}%,Усилить DEF на {0}%,增强def {0}％。,增強防禦力（0）%,Palakasin ang DEF ng {0}%,Tăng DEF lên {0}%
BUFF_DESCRIPTION_103001,Enhance DEF by {0}%,DEF {0}% 강화,Melhorar o DEF por {0}%,DEF{0}％強化,Aumenta la defensa DEF en {0}%,เพิ่ม DEF {0}%,Tingkatkan DEF dengan {0}%,Усилить DEF на {0}%,增强def {0}％。,增強防禦力（0）%,Palakasin ang DEF ng {0}%,Tăng DEF lên {0}%
BUFF_DESCRIPTION_104000,Enhance CRI by {0}%,CRI {0}% 증가,Melhore o CRI por {0}%,CRI{0}％強化,Aumenta el daño crítico CRI en {0}%,เพิ่ม CRI {0}%,Tingkatkan CRI dengan {0}%,Усилить CRI {0}%,增强CRI {0}％。,增強暴擊（0）%,Palakasin ang CRI ng {0}%,Tăng CRI lên {0}%
BUFF_DESCRIPTION_104001,Enhance CRI by {0}%,CRI {0}% 증가,Melhore o CRI por {0}%,CRI{0}％強化,Aumenta el daño crítico CRI en {0}%,เพิ่ม CRI {0}%,Tingkatkan CRI dengan {0}%,Усилить CRI {0}%,增强CRI {0}％。,增強暴擊（0）%,Palakasin ang CRI ng {0}%,Tăng CRI lên {0}%
BUFF_DESCRIPTION_105000,Enhance HIT by {0}%,HIT {0}% 증가,Melhore o HIT por {0}%,HIT{0}％強化,Aumenta la probabilidad de golpear HIT en {0}%,เพิ่ม HIT {0}%,Tingkatkan HIT dengan {0}%,Усилить HIT {0}%,增强HIT {0}％。,增強命中（0）%,Palakasin ang HIT ng {0}%,Tăng HIT lên {0}%
BUFF_DESCRIPTION_105001,Enhance HIT by {0}%,HIT {0}% 증가,Melhore o HIT por {0}%,HIT{0}％強化,Aumenta la probabilidad de golpear HIT en {0}%,เพิ่ม HIT {0}%,Tingkatkan HIT dengan {0}%,Усилить HIT {0}%,增强HIT {0}％。,增強命中（0）%,Palakasin ang HIT ng {0}%,Tăng HIT lên {0}%
BUFF_DESCRIPTION_106000,Enhance SPD by {0}%,SPD {0}% 증가,Melhore o SPD por {0}%,SPD{0}％強化,Aumenta la velocidad SPD en {0}%,เพิ่ม SPD {0}%,Tingkatkan SPD dengan {0}%,Усилить SPD на {0}%,增强spd {0}％。,增強速度（0）%,Palakasin ang SPD ng {0}%,Tăng SPD lên {0}%
BUFF_DESCRIPTION_106001,Enhance SPD by {0}%,SPD {0}% 증가,Melhore o SPD por {0}%,SPD{0}％強化,Aumenta la velocidad SPD en {0}%,เพิ่ม SPD {0}%,Tingkatkan SPD dengan {0}%,Усилить SPD на {0}%,增强spd {0}％。,增強速度（0）%,Palakasin ang SPD ng {0}%,Tăng SPD lên {0}%
BUFF_DESCRIPTION_202000,Weaken ATK by {0}%,ATK {0}% 약화,Enfraquecer Atk por {0}%,ATK {0}％弱化,Disminuye el ataque ATK en {0}%,ลด ATK {0}%,Melemahkan ATK dengan {0}%,Ослабьте ATK на {0}%,{0}％削弱了ATK。,削弱攻擊力（0）%,Pahinain ang ATK ng {0}%,Giảm ATK đi {0}%
BUFF_DESCRIPTION_202001,Weaken ATK by {0}%,ATK {0}% 약화,Enfraquecer Atk por {0}%,ATK {0}％弱化,Disminuye el ataque ATK en {0}%,ลด ATK {0}%,Melemahkan ATK dengan {0}%,Ослабьте ATK на {0}%,{0}％削弱了ATK。,削弱攻擊力（0）%,Pahinain ang ATK ng {0}%,Giảm ATK đi {0}%
BUFF_DESCRIPTION_203001,Weaken DEF by {0}%,DEF {0}% 약화,Enfraquecer Def por {0}%,DEF{0}％弱化,Disminuye la defensa DEF en {0}%,ลด DEF {0}%,Melemahkan DEF dengan {0}%,Ослабьте DEF by {0}%,{0}％削弱了DEF。,削弱防禦力（0）%,Pahinain ang DEF ng {0}%,Giảm DEF đi {0}%
BUFF_DESCRIPTION_204001,Weaken CRI by {0}%,CRI {0}% 감소,Enfraquecer o CRI por {0}%,CRI{0}％弱化,Disminuye el daño crítico CRI en {0}%,ลด CRI {0}%,Lemah CRI dengan {0}%,Ослабьте CRI {0}%,{0}％削弱CRI。,削弱暴擊（0）%,Pahinain ang CRI ng {0}%,Giảm CRI đi {0}%
BUFF_DESCRIPTION_205001,Weaken HIT by {0}%,HIT {0}% 감소,Enfraquecer o HIT por {0}%,HIT{0}％弱化,Disminuye las probabilidad de golpear HIT en {0}%,ลด HIT {0}%,Lemah HIT dengan {0}%,Ослабьте HIT {0}%,{0}％削弱了HIT。,削弱命中（0）%,Pahinain ang HIT ng {0}%,Giảm HIT đi {0}%
BUFF_DESCRIPTION_206001,Weaken SPD by {0}%,SPD {0}% 감소,Enfraquecer SPD por {0}%,SPD{0}％弱化,Disminuye la velocidad SPD en {0}%,ลด SPD {0}%,Lemah SPD dengan {0}%,Ослабьте СПД {0}%,{0}％削弱了SPD。,削弱速度（0）%,Pahinain ang SPD ng {0}%,Giảm SPD đi {0}%
BUFF_DESCRIPTION_302000,Weaken SPD by {0}%,SPD {0}% 감소,Enfraquecer SPD por {0}%,SPD{0}％弱化,Disminuye la velocidad SPD en {0}%,ลด SPD {0}%,Lemah SPD dengan {0}%,Ослабьте СПД {0}%,{0}％削弱了SPD。,削弱速度（0）%,Pahinain ang SPD ng {0}%,Giảm SPD đi {0}%
BUFF_DESCRIPTION_302001,Weaken SPD by {0}%,SPD {0}% 감소,Enfraquecer SPD por {0}%,SPD{0}％弱化,Disminuye la velocidad SPD en {0}%,ลด SPD {0}%,Lemah SPD dengan {0}%,Ослабьте СПД {0}%,{0}％削弱了SPD。,削弱速度（0）%,Pahinain ang SPD ng {0}%,Giảm SPD đi {0}%
BUFF_DESCRIPTION_302002,Weaken SPD by {0}%,SPD {0}% 감소,Enfraquecer SPD por {0}%,SPD{0}％弱化,Disminuye la velocidad SPD en {0}%,ลด SPD {0}%,Lemah SPD dengan {0}%,Ослабьте СПД {0}%,{0}％削弱了SPD。,削弱速度（0）%,Pahinain ang SPD ng {0}%,Giảm SPD đi {0}%
BUFF_DESCRIPTION_302003,Weaken SPD by {0}%,SPD {0}% 감소,Enfraquecer SPD por {0}%,SPD{0}％弱化,Disminuye la velocidad SPD en {0}%,ลด SPD {0}%,Lemah SPD dengan {0}%,Ослабьте СПД {0}%,{0}％削弱了SPD。,削弱速度（0）%,Pahinain ang SPD ng {0}%,Giảm SPD đi {0}%
BUFF_DESCRIPTION_302004,Weaken SPD by {0}%,SPD {0}% 감소,Enfraquecer SPD por {0}%,SPD{0}％弱化,Disminuye la velocidad SPD en {0}%,ลด SPD {0}%,Lemah SPD dengan {0}%,Ослабьте СПД {0}%,{0}％削弱了SPD。,削弱速度（0）%,Pahinain ang SPD ng {0}%,Giảm SPD đi {0}%
BUFF_DESCRIPTION_302005,Weaken SPD by {0}%,SPD {0}% 감소,Enfraquecer SPD por {0}%,SPD{0}％弱化,Disminuye la velocidad SPD en {0}%,ลด SPD {0}%,Lemah SPD dengan {0}%,Ослабьте СПД {0}%,{0}％削弱了SPD。,削弱速度（0）%,Pahinain ang SPD ng {0}%,Giảm SPD đi {0}%
BUFF_DESCRIPTION_302006,Weaken SPD by {0}%,SPD {0}% 감소,Enfraquecer SPD por {0}%,SPD{0}％弱化,Disminuye la velocidad SPD en {0}%,ลด SPD {0}%,Lemah SPD dengan {0}%,Ослабьте СПД {0}%,{0}％削弱了SPD。,削弱速度（0）%,Pahinain ang SPD ng {0}%,Giảm SPD đi {0}%
BUFF_DESCRIPTION_302007,Weaken SPD by {0}%,SPD {0}% 감소,Enfraquecer SPD por {0}%,SPD{0}％弱化,Disminuye la velocidad SPD en {0}%,ลด SPD {0}%,Lemah SPD dengan {0}%,Ослабьте СПД {0}%,{0}％削弱了SPD。,削弱速度（0）%,Pahinain ang SPD ng {0}%,Giảm SPD đi {0}%
BUFF_DESCRIPTION_302008,Weaken SPD by {0}%,SPD {0}% 감소,Enfraquecer SPD por {0}%,SPD{0}％弱化,Disminuye la velocidad SPD en {0}%,ลด SPD {0}%,Lemah SPD dengan {0}%,Ослабьте СПД {0}%,{0}％削弱了SPD。,削弱速度（0）%,Pahinain ang SPD ng {0}%,Giảm SPD đi {0}%
BUFF_DESCRIPTION_302009,Weaken SPD by {0}%,SPD {0}% 감소,Enfraquecer SPD por {0}%,SPD{0}％弱化,Disminuye la velocidad SPD en {0}%,ลด SPD {0}%,Lemah SPD dengan {0}%,Ослабьте СПД {0}%,{0}％削弱了SPD。,削弱速度（0）%,Pahinain ang SPD ng {0}%,Giảm SPD đi {0}%
BUFF_DESCRIPTION_302010,Weaken SPD by {0}%,SPD {0}% 감소,Enfraquecer SPD por {0}%,SPD{0}％弱化,Disminuye la velocidad SPD en {0}%,ลด SPD {0}%,Lemah SPD dengan {0}%,Ослабьте СПД {0}%,{0}％削弱了SPD。,削弱速度（0）%,Pahinain ang SPD ng {0}%,Giảm SPD đi {0}%
BUFF_DESCRIPTION_302011,Weaken SPD by {0}%,SPD {0}% 감소,Enfraquecer SPD por {0}%,SPD{0}％弱化,Disminuye la velocidad SPD en {0}%,ลด SPD {0}%,Lemah SPD dengan {0}%,Ослабьте СПД {0}%,{0}％削弱了SPD。,削弱速度（0）%,Pahinain ang SPD ng {0}%,Giảm SPD đi {0}%
BUFF_DESCRIPTION_302012,Weaken SPD by {0}%,SPD {0}% 감소,Enfraquecer SPD por {0}%,SPD{0}％弱化,Disminuye la velocidad SPD en {0}%,ลด SPD {0}%,Lemah SPD dengan {0}%,Ослабьте СПД {0}%,{0}％削弱了SPD。,削弱速度（0）%,Pahinain ang SPD ng {0}%,Giảm SPD đi {0}%
BUFF_DESCRIPTION_303000,Weaken SPD by {0}%,SPD {0}% 감소,Enfraquecer SPD por {0}%,SPD{0}％弱化,Disminuye la velocidad SPD en {0}%,ลด SPD {0}%,Lemah SPD dengan {0}%,Ослабьте СПД {0}%,{0}％削弱了SPD。,削弱速度（0）%,Pahinain ang SPD ng {0}%,Giảm SPD đi {0}%
BUFF_DESCRIPTION_303001,Weaken SPD by {0}%,SPD {0}% 감소,Enfraquecer SPD por {0}%,SPD{0}％弱化,Disminuye la velocidad SPD en {0}%,ลด SPD {0}%,Lemah SPD dengan {0}%,Ослабьте СПД {0}%,{0}％削弱了SPD。,削弱速度（0）%,Pahinain ang SPD ng {0}%,Giảm SPD đi {0}%
BUFF_DESCRIPTION_303002,Weaken SPD by {0}%,SPD {0}% 감소,Enfraquecer SPD por {0}%,SPD{0}％弱化,Disminuye la velocidad SPD en {0}%,ลด SPD {0}%,Lemah SPD dengan {0}%,Ослабьте СПД {0}%,{0}％削弱了SPD。,削弱速度（0）%,Pahinain ang SPD ng {0}%,Giảm SPD đi {0}%
BUFF_DESCRIPTION_303003,Weaken SPD by {0}%,SPD {0}% 감소,Enfraquecer SPD por {0}%,SPD{0}％弱化,Disminuye la velocidad SPD en {0}%,ลด SPD {0}%,Lemah SPD dengan {0}%,Ослабьте СПД {0}%,{0}％削弱了SPD。,削弱速度（0）%,Pahinain ang SPD ng {0}%,Giảm SPD đi {0}%
BUFF_DESCRIPTION_303004,Weaken SPD by {0}%,SPD {0}% 감소,Enfraquecer SPD por {0}%,SPD{0}％弱化,Disminuye la velocidad SPD en {0}%,ลด SPD {0}%,Lemah SPD dengan {0}%,Ослабьте СПД {0}%,{0}％削弱了SPD。,削弱速度（0）%,Pahinain ang SPD ng {0}%,Giảm SPD đi {0}%
BUFF_DESCRIPTION_303005,Weaken SPD by {0}%,SPD {0}% 감소,Enfraquecer SPD por {0}%,SPD{0}％弱化,Disminuye la velocidad SPD en {0}%,ลด SPD {0}%,Lemah SPD dengan {0}%,Ослабьте СПД {0}%,{0}％削弱了SPD。,削弱速度（0）%,Pahinain ang SPD ng {0}%,Giảm SPD đi {0}%
BUFF_DESCRIPTION_303006,Weaken SPD by {0}%,SPD {0}% 감소,Enfraquecer SPD por {0}%,SPD{0}％弱化,Disminuye la velocidad SPD en {0}%,ลด SPD {0}%,Lemah SPD dengan {0}%,Ослабьте СПД {0}%,{0}％削弱了SPD。,削弱速度（0）%,Pahinain ang SPD ng {0}%,Giảm SPD đi {0}%
BUFF_DESCRIPTION_303007,Weaken SPD by {0}%,SPD {0}% 감소,Enfraquecer SPD por {0}%,SPD{0}％弱化,Disminuye la velocidad SPD en {0}%,ลด SPD {0}%,Lemah SPD dengan {0}%,Ослабьте СПД {0}%,{0}％削弱了SPD。,削弱速度（0）%,Pahinain ang SPD ng {0}%,Giảm SPD đi {0}%
BUFF_DESCRIPTION_303008,Weaken SPD by {0}%,SPD {0}% 감소,Enfraquecer SPD por {0}%,SPD{0}％弱化,Disminuye la velocidad SPD en {0}%,ลด SPD {0}%,Lemah SPD dengan {0}%,Ослабьте СПД {0}%,{0}％削弱了SPD。,削弱速度（0）%,Pahinain ang SPD ng {0}%,Giảm SPD đi {0}%
BUFF_DESCRIPTION_303009,Weaken SPD by {0}%,SPD {0}% 감소,Enfraquecer SPD por {0}%,SPD{0}％弱化,Disminuye la velocidad SPD en {0}%,ลด SPD {0}%,Lemah SPD dengan {0}%,Ослабьте СПД {0}%,{0}％削弱了SPD。,削弱速度（0）%,Pahinain ang SPD ng {0}%,Giảm SPD đi {0}%
