Key,English,Korean,Portuguese,Japanese,Spanish,Thai,Indonesian,Russian,ChineseSimplified,ChineseTraditional,Tagalog,Vietnam
STAT_TYPE_HP,HP,체력,HP,HP,Vida,พลังชีวิต,HP,ХП,生命,生命值,Buhay,HP
STAT_TYPE_ATK,Attack,공격,Ataque,Attack,Ataque,พลังโจมตี,Serangan,Атака,攻击,攻擊,Atake,Tấn công
STAT_TYPE_DEF,Defense,방어,Defesa,Defence,Defensa,พลังป้องกัน,Pertahanan,Защита,防御,防禦,Depensa,Phòng thủ
STAT_TYPE_CRI,Critical,치명,Crítico,Critical,Crítico,คริติคอล,Critical,Крит.,暴击,暴擊,Kritikal,Chí mạng
STAT_TYPE_HIT,Hit,명중,Hit,Hit,Probabilidad de ataque,ความแม่นยำ,akurasi,Удар,命中,命中,Pagtama,Đánh trúng
STAT_TYPE_SPD,Speed,속도,Velocidade,Speed,Velocidad,ความเร็ว,kecepatan,Скорость,速度,速度,Bilis,Tốc độ
ITEM_TYPE_Consumable,Food,음식,Comida,食料,Alimento,อาหาร,makanan,Еда,食品,食物,Pagkain,Thức ăn
ITEM_TYPE_Equipment,Equipment,장비,Equipamento,装備,Equipamento,อุปกรณ์,perlengkapan,Снаряжение,装备,裝備,Kagamitan,Trang bị
ITEM_TYPE_Material,Material,재료,Material,素材,Material,วัตถุดิบ,materi,Материалы,材料,材料,Materyal,Nguyên liệu
ITEM_SUB_TYPE_Food,Food,음식,Comida,食料,Alimento,อาหาร,makanan,Еда,食品,食物,Pagkain,Thức ăn
ITEM_SUB_TYPE_FullCostume,Full Costume,전신 코스튬,TrajeCompleto,コスチューム,Atuendo completo,เครื่องแต่งกายครบเซ็ต,kostum seluruh tubuh,Внеший облик,全套服装,完整的服裝,Buong Kasuotan,Trang phục đầy đủ
ITEM_SUB_TYPE_HairCostume,Hair Costume,헤어 코스튬,TrajeCabelo,髪,Cabello cosmético,เครื่องแต่งกายผม,kostum rambut,Волосы,发饰,頭髮服裝,Kasuotang Pambuhok,Trang phục tóc
ITEM_SUB_TYPE_EarCostume,Ear Costume,귀 코스튬,TrajeOrelha,耳,Orejas cosméticas,เครื่องแต่งกายหู,kostum kuping,Уши,耳饰,耳服,Kasuotang Pangtainga,Trang phục tai
ITEM_SUB_TYPE_EyeCostume,Eye Costume,눈 코스튬,TrajeOlho,目,Ojos cosméticos,เครื่องแต่งกายตา,kostum mata,Глаза,眼饰,眼睛服裝,Kasuotang Pangmata,Trang phục mắt
ITEM_SUB_TYPE_TailCostume,Tail Costume,꼬리 코스튬,TrajeCauda,尻尾,Cola cosmética,เครื่องแต่งกายหาง,kostum buntut,Хвост,尾饰,尾衣,Kasuotang Pangbuntot,Trang phục đuôi
ITEM_SUB_TYPE_Title,Title,칭호,Título,タイトル,Título,ยศ,Gelar,Оглавление,标题,標題,Titulo,Danh hiệu
ITEM_SUB_TYPE_Weapon,Weapon,무기,Arma,武器,Arma,อาวุธ,Senjata,Оружие,武器,武器,Sandata,Vũ khí
ITEM_SUB_TYPE_RangedWeapon,Ranged Weapon,원거리 무기,Arma de alcance,遠距離武器,Arma de rango,อาวุธระยะไกล,Senjata jarak jauh,Оружие дальнего боя,远程武器,遠程武器,May Saklaw na Sandata,Vũ khí xa
ITEM_SUB_TYPE_Armor,Armor,방어구,Armadura,アーマー,Armadura,ชุดเกราะ,baju zirah,Броня,装甲,盔甲,Baluti,Áo giáp
