Key,English,Korean,Portuguese,Japanese,Spanish,Thai,Indonesian,Russian,ChineseSimplified,ChineseTraditional,Tagalog,Vietnam
CHARACTER_NAME_100010,Warrior,전사,Guerreiro,ウォーリアー,Guerrero,นักรบ,Pendekar,Воин,战士,戰士,Mandirigma,Chiến binh
CHARACTER_NAME_100110,Archer,궁수,Arqueiro,アーチャー,Arquero,นักธนู,Pemanah,Лучник,射手,射手,Mamamana,Cung thủ
CHARACTER_NAME_100210,Magician,법사,Mago,マジシャン,Mago,นักเวทย์,Ahli Sihir,Маг,魔术师,魔術師,Salamangkero,Phù thủy
CHARACTER_NAME_201000,Seed of Yggdrasil,이그드라실의 씨앗,Semente de Yggdrasill,ユグドラシル・シード,Semilla de Yggdrasill,เมล็ดพันธ์ของ Yggdrasil,Benih Yggdrasill,Семя Иггдрасиля,伊格德拉西的种子,世界樹的種子,Buto ng Yggdrasil,Hạt của Yggdrasil
CHARACTER_NAME_201001,Sprout of Yggdrasil,이그드라실의 새싹,Broto de Yggdrasill,ユグドラシル・スプラウト,Brote de Yggdrasil,ต้นอ่อนของ Yggdrasil,Tunas Yggdrasil,Росток Иггдрасиля,伊格德拉西的芽,世界樹的萌芽,Usbong ng Yggdrasil,Mầm của Yggdrasil
CHARACTER_NAME_201002,Sprout of Yggdrasil,이그드라실의 새싹,Broto de Yggdrasill,ユグドラシル・スプラウト,Brote de Yggdrasil,ต้นอ่อนของ Yggdrasil,Tunas Yggdrasil,Росток Иггдрасиля,伊格德拉西的芽,世界樹的萌芽,Usbong ng Yggdrasil,Mầm của Yggdrasil
CHARACTER_NAME_201003,Flower of Yggdrasil,이그드라실의 꽃,Flor de Yggdrasill,ユグドラシル・フラワー,Flor de Yggdrasil,ดอกของ Yggdrasil,Bunga Yggdrasil,Цветок Иггдрасиля,伊格德拉西的花,世界樹之花,Bulaklak ng Yggdrasil,Hoa của Yggdrasil
CHARACTER_NAME_201004,Fruit of Yggdrasil,이그드라실의 열매,Fruta de Yggdrasill,ユグドラシル・フルーツ,Fruto de Yggdrasil,ผลของ Yggdrasil,Buah Yggdrasil,Фрукт Иггдрасиля,伊格德拉西的水果,世界樹的果實,Prutas ng Yggdrasil,Quả của Yggdrasil
CHARACTER_NAME_201005,Seedling of Yggdrasil,이그드라실의 모종,Berinjela de Yggdrasill,ユグドラシル・シードリング,Rebrote del Yggdrasil,ต้นกล้าของ Yggdrasil,Seedling of Yggdrasil,Саженцы Иггдрасиля,伊格德拉西的茄子,世界樹之苗,Punla ng Yggdrasil,Mầm non của Yggdrasil
CHARACTER_NAME_201006,Vines of Yggdrasil,이그드라실의 덩굴,Vinhas de Yggdrasill,ユグドラシル・ヴァイン,Enredaderas de Yggdrasil,เถาวัลของ Yggdrasil,Vines of Yggdrasil,Лоза Иггдрасиля,伊格德拉西的藤蔓,世界樹的藤蔓,Baging ng Yggdrasil,Lian của Yggdrasil
CHARACTER_NAME_201007,Mushroom Spore of Yggdrasil,이그드라실의 버섯포자,Esporos de Cogumelos de Yggdrasill,ユグドラシル・スポア,Espora de Hongo de Yggdrasil,สปอร์เห็ดของ Yggdrasil,Jamur Yggdrasil,Споры грибов Иггдрасиля,伊格德拉西的蘑菇孢子,世界樹的蘑菇孢子,Kabuteng binhi ng Yggdrasil,Bào tử nấm của Yggdrasil
CHARACTER_NAME_201008,Leaf Cluster of Yggdrasil,이그드라실의 덤불,Conjunto de Folhas de Yggdrasill,ユグドラシル・リーフ,Follaje de Yggdrasil,มัดใบของ Yggdrasil,kumpulan daun Yggdrasil,Пучок листьев Иггдрасиля,伊格德拉西的叶子束,世界樹的葉簇,Kumpol na dahon ng Yggdrasil,Bó mầm lá của Yggdrasil
CHARACTER_NAME_202000,Fox Tribe Henchman,여우부족 졸개,Raposa Capanga,フォックス・ヘンチマン,Secuaz de la Tribu Zorro,ลูกกะจ๊อกเผ่าจิ้งจอก,Antek Rubah,Приспешник Фокс,狐狸仆从,狐族追隨者,Tribong Lobo Alipores,Đồng minh bộ tộc cáo
CHARACTER_NAME_202001,Fox Tribe Trainee,여우부족 훈련병,Raposa Estagiária,フォックス・トレイニー,Aprendiz de la Tribu Zorro,จิ้งจอกฝึกหัด,Rubah Trainee,Стажер Фокс,狐狸实习生,狐族學徒,Tribong Lobo Baguhan,Học viên bộ tộc cáo
CHARACTER_NAME_202002,Fox Tribe Bandit,여우부족 도적,Raposa Criminosa,フォックス・バンディット,Bandido de la Tribu Zorro,หัวขโมยเผ่าจิ้งจอก,Bandit Rubah,Бандит Фокс,狐狸强盗,狐族土匪,Tribong Lobo Bandido,Tội phạm bộ tộc cáo
CHARACTER_NAME_202003,Fox Tribe Warrior,여우부족 전사,Raposa Guerreira,フォックス・ウォーリアー,Guerrero de la Tribu Zorro,นักรบเผ่าจิ้งจอก,Rubah Pendekar,Воин Фокс,狐狸战士,狐族戰士,Tribong Lobo Mandirigma,Chiến binh bộ tộc cáo
CHARACTER_NAME_202004,Fox Tribe Shaman,여우부족 주술사,Raposa Xamã,フォックス・シャーマン,Chamán de la Tribu Zorro,หมอผีเผ่าจิ้งจอก,Rubah Syaman,Шаман Фокс,狐狸萨满,狐族薩滿,Tribong Lobo Babaylan,Shaman bộ tộc cáo
CHARACTER_NAME_202005,Fox Tribe Apprentice Wizard,여우부족 견습 마법사,Raposa Aprendiz de Mago,フォックス・マジシャン,Aprendiz de mago de la Tribu Zorro,พ่อมดฝึกหัดเผ่าจิ้งจอก,Rubah penyihir pemula,Ученик Волшебника Фокс,狐狸学徒巫师,狐族學徒巫師,Tribong Lobo Nagsasanay na Salamangkero,Phù thủy tập sự bộ tộc cáo
CHARACTER_NAME_202006,Fox Tribe Wizard,여우부족 마도사,Raposa Mago,フォックス・ウィザード,Mago de la Tribu Zorro,พ่อมดเผ่าจิ้งจอก,Rubah Renyihir,Волшебник Фокс,狐狸巫师,狐族巫師,Tribong Lobo Salamangkero,Phù thủy bộ tộc cáo
