Key,English,Korean,Portuguese,Japanese,Spanish,Thai,Indonesian,Russian,ChineseSimplified,ChineseTraditional,Tagalog,Vietnam
NEW_COLLECTION_NAME,New Collection,새 컬렉션,NOVA_COLEÇÃO_NOME,新コレクション名,NUEVO_NOMBRE_DE_LA_COLECCIÓN,ชื่อคอลเล็กชันใหม่,NAMA_KOLEKSI_BARU,НОВОЕ_НАЗВАНИЕ_КОЛЛЕКЦИИ,新_COLLECTION_NAME,新_COLLECTION_NAME,BAGONG_PANGALAN_NG_COLLECTION,TÊN_BỘ_SƯU_TẬP_MỚI
COLLECTION_NAME_1,Starter Kit,스타터 장비,Kit Inicial,スターターキット,Kit de Inicio,ชุดเริ่มต้น,Paket Pemula,Набор для Начинающих,启动套件,啟動套件,Starter Kit,Bộ Dụng Cụ Khởi Đầu
COLLECTION_NAME_2,Long Sword Group,롱 소드 그룹,Espada Longa Grupo,ロングソード グループ,Espada Larga Grupo,ดาบยาว กลุ่ม,Pedang Panjang Kelompok,Группа,长剑 群组,長劍 群組,Mahabang Espada Grupo,Long Kiếm Nhóm
COLLECTION_NAME_3,Gladiator Sword Group,검투사 검 그룹,Espada do Gladiador Grupo,グラディエーターソード グループ,Espada de Gladiador Grupo,ดาบกลาดิเอเตอร์ กลุ่ม,Pedang Gladiator Kelompok,Группа,角斗士剑 群组,角斗士劍 群組,Espada ng Manlalaban Grupo,Võ sĩ giác đấu. Nhóm
COLLECTION_NAME_4,Black Crow Sword Group,까마귀의 검 그룹,Espada do Corvo Negro Grupo,ブラッククロウソード グループ,Espada del cuervo Negro Grupo,ดาบอีกาดำ กลุ่ม,Pedang Gagak Hitam Kelompok,Группа,黑乌鸦剑 群组,黑烏鴉劍 群組,Espada ng Itim na Uwak Grupo,Hắc Nha bảo kiếm. Nhóm
COLLECTION_NAME_5,Heavy Sword Group,무거운 검 그룹,Espada Pesada Grupo,ヘヴィソード グループ,Espada Pesada Grupo,ดาบหนัก กลุ่ม,Heavy Sword Kelompok,Группа,重剑 群组,重劍 群組,Mabigat na Espada Grupo,Kiếm nặng Nhóm
COLLECTION_NAME_6,War Sword Group,전쟁 검 그룹,Espada de Guerra Grupo,ウォーソード グループ,Espada de Guerra Grupo,ดาบสงคราม กลุ่ม,Pedang Perang Kelompok,Группа,战争剑 群组,戰劍 群組,Espadang Pandigmaan Grupo,binh đao Nhóm
COLLECTION_NAME_7,Dainsleif Group,다인슬레이프 그룹,Dainsleif Grupo,ダーインスレイヴ グループ,Dainsleif Grupo,Dainsleif กลุ่ม,Dainsleif Kelompok,Группа,戴斯莱夫 群组,丹斯萊夫 群組,Dainsleif Grupo,Dainleif (huyện) Nhóm
COLLECTION_NAME_8,Casual Clothes Group,천 옷 그룹,Roupas Casuais Grupo,カジュアルな服 グループ,Ropa Casual Grupo,ชุดลำลอง กลุ่ม,Pakaian sederhana Kelompok,Группа,休闲服 群组,休閒服 群組,Kaswal na Kasuotan Grupo,Quần áo thường ngày Nhóm
COLLECTION_NAME_9,Leather Clothes Group,가죽 옷 그룹,Roupa de Couro Grupo,革の服 グループ,Ropa de Cuero Grupo,เสื้อผ้าหนัง กลุ่ม,Pakaian Kulit Kelompok,Группа,皮革服装 群组,皮革衣服 群組,Balat na Kasuotan Grupo,Quần áo da Nhóm
COLLECTION_NAME_10,Black Crow Armor Group,검은 까마귀의 갑옷 그룹,Armadura do Corvo Negro Grupo,ブラッククロウアーマー グループ,Armadura del Cuervo Negro Grupo,ชุดเกราะอีกาดำ กลุ่ม,Baju zirah Gagak hitam Kelompok,Группа,黑乌鸦装甲 群组,黑烏鴉盔甲 群組,Baluti ng Itim na Uwak Grupo,Áo giáp quạ đen Nhóm
COLLECTION_NAME_11,Hermes' Clothes Group,헤르메스의 옷 그룹,Roupa de Hermes Grupo,エルメスの服 グループ,Ropa de Hermes Grupo,เสื้อผ้าของ Hermes กลุ่ม,Pakaian Hermes Kelompok,Группа,爱马仕的衣服 群组,愛馬仕的衣服 群組,Kasuotan ng Hermes Grupo,Quần áo Hermes Nhóm
COLLECTION_NAME_12,War Armor Group,전쟁 갑옷 그룹,Armadura de Guerra Grupo,ウォーアーマー グループ,Armadura de Guerra Grupo,ชุดเกราะสงคราม กลุ่ม,Baju Zirah Perang Kelompok,Группа,战争装甲 群组,戰爭盔甲 群組,Baluting Pandigmaan Grupo,áo giáp chiến tranh Nhóm
COLLECTION_NAME_13,Ancient Armor Group,고대의 갑옷 그룹,Armadura Ancestral Grupo,太古の鎧 グループ,Armadura Antigua Grupo,ชุดเกราะโบราณ กลุ่ม,Baju Zirah Kuno Kelompok,Группа,古代盔甲 群组,古老的盔甲 群組,Sinaunang baluti Grupo,áo giáp cổ Nhóm
COLLECTION_NAME_14,Basic Belt (Wind),허리끈 (Wind),Cinto (Vento),ベルト (風),Cinturón Básico (Viento),เข็มขัดธรรมดา (ธาตุลม),Sabuk (udara),(Воздух),腰带 (风),基本款腰帶 (風),Pangunahing Sinturon (Hangin),Thắt lưng cơ bản (Gió)
COLLECTION_NAME_15,Leather Belt Group,가죽 벨트 그룹,Cinto de Couro Grupo,レザーベルト グループ,Cinturón de Cuero Grupo,เข็มขัดหนัง กลุ่ม,Sabuk kulit Kelompok,Группа,皮腰带 群组,皮帶 群組,Balat na Sinturon Grupo,Dây đai da Nhóm
COLLECTION_NAME_16,Solid Belt Group,견고한 벨트 그룹,Cinto Sólido Grupo,ソリッドベルト グループ,Cinturón Sólido Grupo,เข็มขัดแข็ง กลุ่ม,Sabuk Solid Kelompok,Группа,实心腰带 群组,實心腰帶 群組,Matatag na Sinturon Grupo,Dây đai rắn Nhóm
COLLECTION_NAME_17,War Belt (Land),전쟁 벨트 (Land),Cinto de Guerra (Terra),ウォーベルト (地),Cinturón de Guerra (Tierra),เข็มขัดสงคราม (ธาตุดิน),Sabuk Perang (tanah),(Земля),战争腰带 (土),戰爭腰帶 (土),Sinturong Pandigmaan (Lupa),Vành đai chiến tranh (Đất)
COLLECTION_NAME_18,Legendary Belt Group,전설의 벨트 그룹,Cinto Lendário Grupo,伝説のベルト グループ,Cinturón Legendario Grupo,เข็มขัดในตำนาน กลุ่ม,Sabuk Legendaris Kelompok,Группа,传奇腰带 群组,傳奇腰帶 群組,Maalamat na sinturon Grupo,Dây đai huyền thoại Nhóm
COLLECTION_NAME_19,Thin Necklace (Land),얇은 목걸이 (Land),Colar Fino (Terra),細いネックレス (地),Collar Delgado (Tierra),สร้อยคอเส้นบาง (ธาตุดิน),Kalung Tipis (tanah),(Земля),细项链 (土),細項鍊 (土),Manipis na kuwintas (Lupa),Dây chuyền mỏng (Đất)
COLLECTION_NAME_20,Guardian Necklace Group,수호의 목걸이 그룹,Colar do Guardião Grupo,ガーディアンネックレス グループ,Collar Guardián Grupo,สร้อยคอผู้พิทักษ์ กลุ่ม,Kalung Penjaga Kelompok,Группа,守护项链 群组,守護者項鍊 群組,Kuwintas ng Tagapagtanggol Grupo,Dây chuyền bảo vệ Nhóm
COLLECTION_NAME_21,Mana Necklace Group,마력의 목걸이 그룹,Colar de Mana Grupo,マナネックレス グループ,Collar De Maná Grupo,สร้อยคอมานา กลุ่ม,Kalung Mana Kelompok,Группа,法力项链 群组,法力項鍊 群組,Kuwintas ng Mana Grupo,Vòng cổ ma thuật Nhóm
COLLECTION_NAME_22,Warrior's Necklace (Normal),전사의 목걸이 (Normal),Colar do Guerreiro (Normal),戦士のネックレス (ノーマル),Collar del Guerrero (Normal),สร้อยคอของนักรบ (ธรรมดา),Kalung Pendekar (normal),(Нормально),战士的项链 (普通),戰士的項鍊 (普通),Kuwintas ng Mandirigma (Normal),Vòng cổ của chiến binh (Bình thường)
COLLECTION_NAME_23,Legendary Necklace Group,전설의 목걸이 그룹,Colar Lendário Grupo,伝説のネックレス グループ,Collar Legendario Grupo,สร้อยคอในตำนาน กลุ่ม,Kalung Legendaris Kelompok,Группа,传奇项链 群组,傳奇項鍊 群組,Maalamat na Kuwintas Grupo,Dây chuyền huyền thoại Nhóm
COLLECTION_NAME_24,Thin Ring Group,얇은 반지 그룹,Anel Fino Grupo,細いリング グループ,Anillo Delgado Grupo,แหวนบาง กลุ่ม,Cincin Tipis Kelompok,Группа,细环 群组,細環 群組,Manipis na Singsing Grupo,Vòng mỏng Nhóm
COLLECTION_NAME_25,Guardian Ring Group,수호의 반지 그룹,Anel do Guardião Grupo,ガーディアンリング グループ,Anillo Guardián Grupo,แหวนผู้พิทักษ์ กลุ่ม,Cincin Penjaga Kelompok,Группа,守护戒指 群组,守護者戒指 群組,Singsing ng Tagapagtangol Grupo,Vòng bảo vệ Nhóm
COLLECTION_NAME_26,Mana Ring Group,마나 반지 그룹,Anel de Mana Grupo,マナリング グループ,Anillo de Maná Grupo,แหวนมานา กลุ่ม,Cincin Mana Kelompok,Группа,法力戒指 群组,法力戒指 群組,Singsing ng Mana Grupo,Vòng quản lý Nhóm
COLLECTION_NAME_27,Warrior's Ring Group,전사의 반지 그룹,Anel do Guerreiro Grupo,戦士のリング グループ,Anillo del Guerrero Grupo,แหวนของนักรบ กลุ่ม,Cincin Pendekar Kelompok,Группа,战士之戒 群组,戰士的戒指 群組,Singsing ng Mandirigma Grupo,Nhẫn chiến binh Nhóm
COLLECTION_NAME_28,Ancient Ring Group,고대의 반지 그룹,Anel antigo Grupo,古代の指輪 グループ,Anillo Antiguo Grupo,แหวนโบราณ กลุ่ม,Cincin kuno Kelompok,Древнее кольцо Группа,古戒指 群组,古老的戒指 群組,Maalamat na Singsing Grupo,Nhẫn cổ Nhóm
COLLECTION_NAME_29,Ancient Belt Group,고대의 벨트 그룹,Cinto antigo Grupo,古代のベルト グループ,Cinturón antiguo Grupo,เข็มขัดโบราณ กลุ่ม,Sabuk kuno Kelompok,Древний пояс Группа,古代皮带 群组,古代腰帶 群組,Sinaunang Sinturon Grupo,Vành đai cổ đại Nhóm
COLLECTION_NAME_30,Ancient Necklace Group,고대의 목걸이 그룹,Colar antigo Grupo,古代のネックレス グループ,Collar antiguo Grupo,สร้อยคอโบราณ กลุ่ม,Kalung kuno Kelompok,Древнее ожерелье Группа,古老的项链 群组,古老的項鍊 群組,Sinaunang Kuwintas Grupo,Dây chuyền cổ Nhóm
COLLECTION_NAME_31,+2 Long Sword Group,+2 롱 소드 그룹,+2 Espada Longa Grupo,+2 ロングソード グループ,+2 Espada Larga Grupo,+2 ดาบยาว กลุ่ม,+2 Pedang Panjang Kelompok,+2  Группа,+2 长剑 群组,+2 長劍 群組,+2 Mahabang Espada Grupo,+2 Long Kiếm Nhóm
COLLECTION_NAME_32,+2 Gladiator Sword Group,+2 검투사 검 그룹,+2 Espada do Gladiador Grupo,+2 グラディエーターソード グループ,+2 Espada de Gladiador Grupo,+2 ดาบกลาดิเอเตอร์ กลุ่ม,+2 Pedang Gladiator Kelompok,+2  Группа,+2 角斗士剑 群组,+2 角斗士劍 群組,+2 Espada ng Manlalaban Grupo,+2 Võ sĩ giác đấu. Nhóm
COLLECTION_NAME_33,+2 Black Crow Sword Group,+2 까마귀의 검 그룹,+2 Espada do Corvo Negro Grupo,+2 ブラッククロウソード グループ,+2 Espada del cuervo Negro Grupo,+2 ดาบอีกาดำ กลุ่ม,+2 Pedang Gagak Hitam Kelompok,+2  Группа,+2 黑乌鸦剑 群组,+2 黑烏鴉劍 群組,+2 Espada ng Itim na Uwak Grupo,+2 Hắc Nha bảo kiếm. Nhóm
COLLECTION_NAME_34,+2 Heavy Sword Group,+2 무거운 검 그룹,+2 Espada Pesada Grupo,+2 ヘヴィソード グループ,+2 Espada Pesada Grupo,+2 ดาบหนัก กลุ่ม,+2 Heavy Sword Kelompok,+2  Группа,+2 重剑 群组,+2 重劍 群組,+2 Mabigat na Espada Grupo,+2 Kiếm nặng Nhóm
COLLECTION_NAME_35,+2 War Sword Group,+2 전쟁 검 그룹,+2 Espada de Guerra Grupo,+2 ウォーソード グループ,+2 Espada de Guerra Grupo,+2 ดาบสงคราม กลุ่ม,+2 Pedang Perang Kelompok,+2  Группа,+2 战争剑 群组,+2 戰劍 群組,+2 Espadang Pandigmaan Grupo,+2 binh đao Nhóm
COLLECTION_NAME_36,+2 Dainsleif Group,+2 다인슬레이프 그룹,+2 Dainsleif Grupo,+2 ダーインスレイヴ グループ,+2 Dainsleif Grupo,+2 Dainsleif กลุ่ม,+2 Dainsleif Kelompok,+2  Группа,+2 戴斯莱夫 群组,+2 丹斯萊夫 群組,+2 Dainsleif Grupo,+2 Dainleif (huyện) Nhóm
COLLECTION_NAME_37,+2 Casual Clothes Group,+2 천 옷 그룹,+2 Roupas Casuais Grupo,+2 カジュアルな服 グループ,+2 Ropa Casual Grupo,+2 ชุดลำลอง กลุ่ม,+2 Pakaian sederhana Kelompok,+2  Группа,+2 休闲服 群组,+2 休閒服 群組,+2 Kaswal na Kasuotan Grupo,+2 Quần áo thường ngày Nhóm
COLLECTION_NAME_38,+2 Leather Clothes Group,+2 가죽 옷 그룹,+2 Roupa de Couro Grupo,+2 革の服 グループ,+2 Ropa de Cuero Grupo,+2 เสื้อผ้าหนัง กลุ่ม,+2 Pakaian Kulit Kelompok,+2  Группа,+2 皮革服装 群组,+2 皮革衣服 群組,+2 Balat na Kasuotan Grupo,+2 Quần áo da Nhóm
COLLECTION_NAME_39,+2 Black Crow Armor Group,+2 검은 까마귀의 갑옷 그룹,+2 Armadura do Corvo Negro Grupo,+2 ブラッククロウアーマー グループ,+2 Armadura del Cuervo Negro Grupo,+2 ชุดเกราะอีกาดำ กลุ่ม,+2 Baju zirah Gagak hitam Kelompok,+2  Группа,+2 黑乌鸦装甲 群组,+2 黑烏鴉盔甲 群組,+2 Baluti ng Itim na Uwak Grupo,+2 Áo giáp quạ đen Nhóm
COLLECTION_NAME_40,+2 Hermes' Clothes Group,+2 헤르메스의 옷 그룹,+2 Roupa de Hermes Grupo,+2 エルメスの服 グループ,+2 Ropa de Hermes Grupo,+2 เสื้อผ้าของ Hermes กลุ่ม,+2 Pakaian Hermes Kelompok,+2  Группа,+2 爱马仕的衣服 群组,+2 愛馬仕的衣服 群組,+2 Kasuotan ng Hermes Grupo,+2 Quần áo Hermes Nhóm
